@relation usef

@attribute author {Stoker, Hawthorne, Twain, Doyle, Dickens, Austen, Shelley, Melville}
@attribute ufreq_colloquialism_n_01 numeric
@attribute ufreq_intensifier_n_01 numeric
@attribute ufreq_slang_n_02 numeric
@attribute ufreq_plural_n_01 numeric
@attribute ufreq_archaism_n_01 numeric
@attribute ufreq_combining_form_n_01 numeric
@attribute ufreq_comparative_n_01 numeric
@attribute ufreq_disparagement_n_01 numeric
@attribute ufreq_ethnic_slur_n_01 numeric
@attribute ufreq_irony_n_03 numeric


@data
Doyle,0.6666666666666666,0.041666666666666664,0.08333333333333333,0.08333333333333333,0,0.041666666666666664,0.08333333333333333,0,0,0
Doyle,0.37037037037037035,0.3148148148148148,0.05555555555555555,0.07407407407407407,0,0.07407407407407407,0.07407407407407407,0,0,0
Doyle,0.6505376344086022,0.04838709677419355,0.0913978494623656,0.0967741935483871,0.03225806451612903,0.04838709677419355,0,0,0,0
Doyle,0.6379310344827587,0.08045977011494253,0.017241379310344827,0.10344827586206896,0.10344827586206896,0.034482758620689655,0,0,0,0
Doyle,0.5430107526881721,0.1075268817204301,0.11290322580645161,0.20430107526881722,0.03225806451612903,0,0,0,0,0
Doyle,0.4615384615384616,0.1810897435897436,0.0576923076923077,0.0576923076923077,0.038461538461538464,0.05288461538461539,0.043269230769230775,0,0,0
Doyle,0.5133333333333333,0.09333333333333332,0.16,0.13333333333333333,0.04,0.02,0.04,0,0,0
Doyle,0.5190476190476191,0.06761904761904763,0.042857142857142864,0.13333333333333333,0.11428571428571431,0.04857142857142858,0.04571428571428573,0,0,0.028571428571428577
Doyle,0.5897435897435898,0.10256410256410256,0.08974358974358974,0.10256410256410256,0.02564102564102564,0.01282051282051282,0,0,0,0.02564102564102564
Doyle,0.45,0.026666666666666665,0,0.15,0.05,0.01,0.13,0.025,0.025,0.05
Doyle,0.5697674418604651,0.10465116279069768,0.023255813953488372,0.11627906976744186,0.046511627906976744,0.06976744186046512,0.023255813953488372,0,0,0.023255813953488372
Doyle,0.5277777777777778,0.2222222222222222,0.027777777777777776,0.16666666666666666,0.05555555555555555,0,0,0,0,0
Austen,0.3076923076923077,0.46153846153846156,0.07692307692307693,0.15384615384615385,0,0,0,0,0,0
Austen,0.7777777777777778,0.1111111111111111,0,0,0,0,0.1111111111111111,0,0,0
Austen,0.5909090909090909,0.3181818181818182,0,0,0,0.045454545454545456,0.045454545454545456,0,0,0
Austen,0.7142857142857143,0.2857142857142857,0,0,0,0,0,0,0,0
