@relation charngram

@attribute author {Stoker, Hawthorne, Twain, Doyle, Dickens, Austen, Shelley, Melville}
@attribute c2gram_s* numeric
@attribute c2gram_e* numeric
@attribute c2gram_t* numeric
@attribute c2gram_d* numeric
@attribute c2gram_^w numeric
@attribute c2gram_re numeric
@attribute c2gram_er numeric
@attribute c2gram_as numeric
@attribute c2gram_ed numeric
@attribute c2gram_^t numeric
@attribute c3gram_ed* numeric
@attribute c3gram_re* numeric
@attribute c3gram_^th numeric
@attribute c3gram_ere numeric
@attribute c3gram_her numeric
@attribute c3gram_the numeric
@attribute c3gram_ly* numeric
@attribute c3gram_ing numeric
@attribute c3gram_ng* numeric
@attribute c3gram_er* numeric
@attribute c4gram_ther numeric
@attribute c4gram_here numeric
@attribute c4gram_^the numeric
@attribute c4gram_ere* numeric
@attribute c4gram_ing* numeric
@attribute c4gram_ked* numeric
@attribute c4gram_ght* numeric
@attribute c4gram_red* numeric
@attribute c4gram_thin numeric
@attribute c4gram_ied* numeric


@data
Doyle,0.028428093645484948,0.03177257525083612,0.023411371237458192,0.020066889632107024,0.015050167224080268,0.011705685618729096,0.023411371237458192,0.011705685618729096,0.013377926421404682,0.011705685618729096,0.01951219512195122,0.00975609756097561,0.012195121951219513,0.007317073170731708,0.004878048780487805,0.004878048780487805,0.012195121951219513,0.0024390243902439024,0.0024390243902439024,0.012195121951219513,0.006802721088435374,0.006802721088435374,0.006802721088435374,0.006802721088435374,0.003401360544217687,0.01020408163265306,0,0,0.006802721088435374,0.006802721088435374
Doyle,0.034334763948497854,0.03862660944206009,0.012875536480686695,0.020028612303290415,0.015736766809728183,0.015736766809728183,0.02145922746781116,0.015736766809728183,0.012875536480686695,0.012875536480686695,0.01761252446183953,0.015655577299412915,0.007827788649706457,0.007827788649706457,0.011741682974559686,0.005870841487279843,0.003913894324853229,0.007827788649706457,0.007827788649706457,0.011741682974559686,0.008771929824561403,0.008771929824561403,0.008771929824561403,0.008771929824561403,0.011695906432748537,0.0029239766081871343,0.005847953216374269,0.0029239766081871343,0.0029239766081871343,0.0029239766081871343
Doyle,0.02763819095477387,0.03391959798994975,0.01256281407035176,0.03015075376884422,0.016331658291457288,0.026381909547738693,0.02512562814070352,0.013819095477386936,0.01507537688442211,0.017587939698492462,0.01981981981981982,0.023423423423423424,0.021621621621621623,0.021621621621621623,0.021621621621621623,0.01981981981981982,0.007207207207207207,0.007207207207207207,0.007207207207207207,0.010810810810810811,0.023980815347721823,0.023980815347721823,0.023980815347721823,0.023980815347721823,0.009592326139088728,0.009592326139088728,0,0.002398081534772182,0.004796163069544364,0.002398081534772182
Doyle,0.029791459781529295,0.020854021847070508,0.020854021847070508,0.025819265143992055,0.025819265143992055,0.020854021847070508,0.01787487586891758,0.025819265143992055,0.016881827209533268,0.012909632571996028,0.02391629297458894,0.008968609865470852,0.01046337817638266,0.007473841554559043,0.004484304932735426,0.004484304932735426,0.01195814648729447,0.007473841554559043,0.008968609865470852,0.013452914798206279,0.006122448979591836,0.006122448979591836,0.006122448979591836,0.004081632653061225,0.01020408163265306,0.01020408163265306,0.00816326530612245,0.006122448979591836,0.006122448979591836,0.0020408163265306124
Doyle,0.024918743228602384,0.028169014084507043,0.020585048754062838,0.023835319609967497,0.01950162513542795,0.027085590465872156,0.018418201516793065,0.018418201516793065,0.013001083423618635,0.01733477789815818,0.0182648401826484,0.0182648401826484,0.0121765601217656,0.0136986301369863,0.0121765601217656,0.0121765601217656,0.0106544901065449,0.0076103500761035,0.0076103500761035,0.0076103500761035,0.016913319238900635,0.016913319238900635,0.016913319238900635,0.016913319238900635,0.010570824524312896,0.008456659619450317,0.004228329809725159,0.006342494714587738,0.0021141649048625794,0
Doyle,0.02863278453829635,0.02934860415175376,0.02863278453829635,0.025053686471009307,0.025769506084466716,0.01717967072297781,0.0164638511095204,0.025053686471009307,0.014316392269148175,0.021474588403722263,0.020787746170678335,0.016411378555798686,0.019693654266958426,0.012035010940919038,0.012035010940919038,0.01312910284463895,0.007658643326039387,0.006564551422319475,0.0087527352297593,0.009846827133479213,0.017915309446254073,0.017915309446254073,0.019543973941368076,0.016286644951140065,0.008143322475570033,0.006514657980456026,0.013029315960912053,0.0016286644951140066,0.008143322475570033,0.004885993485342019
Doyle,0.022727272727272728,0.04329004329004329,0.023809523809523808,0.025974025974025976,0.0183982683982684,0.021645021645021644,0.020562770562770564,0.012987012987012988,0.017316017316017316,0.01948051948051948,0.022727272727272728,0.021212121212121213,0.015151515151515152,0.015151515151515152,0.010606060606060607,0.00909090909090909,0.004545454545454545,0.0030303030303030303,0.0030303030303030303,0.00909090909090909,0.01405152224824356,0.01639344262295082,0.01405152224824356,0.01639344262295082,0.00468384074941452,0.00702576112412178,0.0117096018735363,0.00234192037470726,0.00234192037470726,0
Doyle,0.03175965665236052,0.027467811158798282,0.02145922746781116,0.03175965665236052,0.030042918454935622,0.02575107296137339,0.015450643776824034,0.026609442060085836,0.01630901287553648,0.012875536480686695,0.022193211488250653,0.0195822454308094,0.014360313315926894,0.015665796344647518,0.010443864229765013,0.010443864229765013,0.009138381201044387,0.009138381201044387,0.009138381201044387,0.006527415143603133,0.015355086372360844,0.015355086372360844,0.015355086372360844,0.015355086372360844,0.011516314779270634,0.003838771593090211,0.003838771593090211,0.003838771593090211,0.005758157389635317,0.0019193857965451055
Doyle,0.035348837209302326,0.026976744186046512,0.026976744186046512,0.027906976744186046,0.018604651162790697,0.01953488372093023,0.01581395348837209,0.024186046511627906,0.018604651162790697,0.014883720930232559,0.02676056338028169,0.015492957746478873,0.014084507042253521,0.014084507042253521,0.011267605633802818,0.011267605633802818,0.005633802816901409,0.005633802816901409,0.007042253521126761,0.008450704225352112,0.015625,0.013671875,0.013671875,0.013671875,0.0078125,0.005859375,0.0078125,0.00390625,0.00390625,0.009765625
Doyle,0.02522935779816514,0.026376146788990827,0.02981651376146789,0.033256880733944956,0.028669724770642203,0.017201834862385322,0.011467889908256881,0.0194954128440367,0.0194954128440367,0.013761467889908258,0.0273224043715847,0.018214936247723135,0.020036429872495445,0.012750455373406194,0.014571948998178506,0.012750455373406194,0.00546448087431694,0.012750455373406194,0.01092896174863388,0.0018214936247723133,0.018469656992084433,0.018469656992084433,0.018469656992084433,0.018469656992084433,0.0158311345646438,0.010554089709762533,0.002638522427440633,0,0.0158311345646438,0.005277044854881266
