@relation sensef

@attribute author {Stoker, Hawthorne, Twain, Doyle, Dickens, Austen, Shelley, Melville}
@attribute sfreq_pos numeric
@attribute sfreq_neg numeric
@attribute sfreq_obj numeric


@data
Stoker,0.029649202174188725,0.025518613331113334,0.9448321844946987
Stoker,0.03274531090727325,0.042265447658809435,0.9249892414339169
Stoker,0.04885207634478483,0.05977716927424635,0.8913707543809662
Stoker,0.026125103164113116,0.05526025247803248,0.9186146443578542
Stoker,0.032506131304958434,0.0701047135695374,0.8973891551255073
Stoker,0.053010473544867244,0.04773913752576571,0.8992503889293703
Stoker,0.024101781871808965,0.04202289861626166,0.9338753195119281
Stoker,0.030856534590719048,0.048044555115600705,0.921098910293679
Stoker,0.032488350600237755,0.032510264855484645,0.9350013845442786
Stoker,0.025607762954619088,0.030051925560724644,0.9443403114846578
Stoker,0.02791388882802143,0.08941858877500329,0.8826675223969805
Stoker,0.03756470707636424,0.05870388153912923,0.9037314113845069
